posting_id,tipo,precio,m2,precio_m2,ambientes,dormitorios,zona,direccion,visibilidad,lat,lon,url,fuente
59614342,Departamento,500000,44,11364,2,1,General San Martín,Matheu al 4600,EXACT,-34.581786,-58.5464632,https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-en-general-san-martin-59614342.html,Zonaprop
60170699,Departamento,500000,40,12500,1,,San Martín Centro,Ayacucho 2124,EXACT,-34.5736942,-58.5350778,https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-monoambiente-en-san-martin-centro-con-amenities-60170699.html,Zonaprop
59633602,Departamento,780000,64,12188,3,2,San Martín Centro,Doctor Ramón Carrillo 2241,EXACT,-34.5750047,-58.5391917,https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-depto-de-3-ambientes-de-64-m-sup2--muy-luminoso-al-59633602.html,Zonaprop
60042793,Departamento,800000,59,13559,2,1,Villa Ballester,Cordoba 4532,EXACT,-34.5512150949,-58.5524197493,https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-2-ambientes-60042793.html,Zonaprop
59963115,Departamento,650000,51,12745,2,1,Villa Ballester,"Combet 5426, 1° ""C"" - Villa Ballester",EXACT,-34.5408968105,-58.5545761251,https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-en-alquiler-de-2-ambientes-con-balcon-59963115.html,Zonaprop
60166262,Departamento,800000,54,14815,2,1,San Martín Centro,Ayacucho al 2100,EXACT,-34.5736363846,-58.5350639939,https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-en-alquiler-san-martin-centro-60166262.html,Zonaprop
59713315,Departamento,600000,42,14286,2,1,General San Martín,Mitre 4100,EXACT,-34.5795545,-58.5414045,https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-2-ambientes-en-general-san-martin-59713315.html,Zonaprop
60070254,Departamento,1000000,95,10526,3,2,Villa Ballester,San Luis 4000,EXACT,-34.55236053,-58.54684067,https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-3-ambientes-con-patio-y-cochera-60070254.html,Zonaprop
60138483,Departamento,1200000,100,12000,3,2,Villa Ballester,Artigas 5300,EXACT,-34.54899979,-58.56320953,https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-duplex-3-ambientes-con-cochera-patio-y-parrilla-60138483.html,Zonaprop
58027972,Departamento,470000,33,14242,1,,San Martín Centro,Caseros 2191,EXACT,-34.5775405,-58.5411405,https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-de-33-m-sup2--en-alquiler-en-san-martin-58027972.html,Zonaprop
59876903,Departamento,950000,83,11446,4,3,San Martín Centro,San Lorenzo 2452,EXACT,-34.574127,-58.5424413,https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-depto-de-4-amb.-san-martin-centro-59876903.html,Zonaprop
60087286,Departamento,600000,41,14634,1,,Villa Maipu,Perdriel 2895,EXACT,-34.5752441,-58.52631510000001,https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-monoambiente-en-alquiler-general-san-martin-60087286.html,Zonaprop
59746854,Departamento,1100000,95,11579,4,3,Billinghurst,MORENO 4371,EXACT,-34.5824926,-58.5410732,https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-amplio-depto-de-4-amb.-c-patio-y-balcon-59746854.html,Zonaprop
58621627,Departamento,2100000,226,9292,7,4,Villa Ballester,Catamarca al 4500,EXACT,-34.5476267,-58.5479232,https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-a-estrenar-de-4-dorm.-en-el-centro-de-58621627.html,Zonaprop
60048555,Departamento,700000,49,14286,3,2,General San Martín,Belgrano 3900,EXACT,-34.578643,-58.538067,https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-en-alquiler-en-san-martin-g.-b.-a.-zona-60048555.html,Zonaprop
60052035,Departamento,540000,45,12000,2,1,Villa Ballester,Pueyrredón 2447,EXACT,-34.5486192,-58.5507442,https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-2-ambientes-villa-ballester-centro-60052035.html,Zonaprop
